id,genus
2783,0.989393234253
2175,0.331922054291
4517,0.995528519154
2831,0.142958328128
3556,0.210512503982
3111,0.989146947861
3113,0.118987366557
3962,0.985443770885
1664,0.993100881577
2443,0.999998450279
3491,0.973459243774
2390,0.999802291393
2532,0.999991297722
1407,0.997994542122
273,0.190314128995
1411,0.997973263264
4717,0.995959103107
585,0.99998831749
4583,0.998014330864
4862,0.374009281397
4226,0.109507761896
4008,0.993829548359
3233,0.999989748001
3946,0.999923706055
2777,0.786849915981
3598,0.93959158659
1943,0.996489703655
1513,0.239743858576
2345,0.816636681557
2001,0.826197326183
4506,0.80828499794
2308,0.163685888052
4502,0.963852763176
2997,0.374863356352
1791,0.999639034271
2875,0.100410416722
1282,0.906275629997
4479,0.10890878737
3454,0.887118637562
1388,0.140465646982
4009,0.359473735094
4158,0.621629714966
4229,0.983575880527
3143,0.122887536883
2606,0.999103188515
3164,0.759065210819
1880,0.973741889
4237,0.75676637888
3238,0.117778971791
3614,0.101879872382
259,0.813682556152
2913,0.145488664508
552,0.994044005871
4302,0.986035943031
734,0.658813297749
3290,0.153574228287
2477,0.99799323082
2973,0.78235244751
203,0.0967754647136
521,0.144112601876
3698,0.931833148003
4680,0.23368114233
4558,0.777215659618
3325,0.161706313491
4677,0.136779427528
4756,0.37833622098
1263,0.748854100704
1058,0.96781462431
3890,0.623347520828
4028,0.321559607983
2642,0.997686386108
3473,0.326582729816
3232,0.115245267749
2836,0.997647941113
1696,0.667588949203
238,0.120243884623
2344,0.19764611125
3701,0.229833632708
846,0.99989938736
2717,0.967322051525
4042,0.359901815653
3921,0.713595330715
2057,0.780603349209
1271,0.418745487928
2841,0.56326174736
430,0.999774515629
1660,0.97969442606
212,0.92009717226
2779,0.994154155254
509,0.996306419373
2238,0.99983894825
3498,0.142876774073
2178,0.252029716969
966,0.981140017509
1313,0.996464133263
3181,0.992860496044
4403,0.134523883462
3357,0.990041851997
1324,0.418745487928
3411,0.992611706257
4063,0.466965675354
2967,0.259775668383
2204,0.976187109947
2931,0.980947852135
287,0.277642428875
1107,0.999991893768
145,0.227984428406
1042,0.11187620461
2799,0.143182113767
3898,0.990194857121
39,0.835624098778
1077,0.999927401543
2146,0.999958157539
4103,0.657078444958
184,0.997307419777
1014,0.999707877636
3861,0.875941872597
2557,0.324228733778
2483,0.989023208618
2529,0.924493610859
2350,0.999616503716
2957,0.128555238247
1354,0.168941065669
1740,0.100781530142
1450,0.136041074991
590,0.995424568653
2817,0.848553597927
1325,0.102963544428
3026,0.274340957403
3444,0.991840839386
1258,0.993908643723
3398,0.137244388461
2813,0.127391949296
2691,0.985049664974
4291,0.999795854092
4955,0.955005645752
4715,0.978537678719
1565,0.910221338272
3414,0.13480477035
4442,0.128272756934
88,0.594253659248
4145,0.577680110931
2222,0.32177233696
4038,0.632572114468
1852,0.999825298786
4330,0.124572768807
3513,0.784491896629
95,0.899266302586
3711,0.1294490695
3920,0.682886302471
1242,0.332368642092
3108,0.996422469616
3519,0.711005628109
666,0.999924063683
2364,0.170643910766
986,0.101638704538
2216,0.214411899447
2426,0.862191855907
3781,0.903308808804
4551,0.936777770519
3761,0.99999833107
588,0.824385404587
2531,0.100886687636
133,0.128828629851
1511,0.907287240028
4711,0.0923907756805
77,0.587003350258
636,0.320396482944
1168,0.999950289726
2827,0.991165697575
297,0.109819144011
1575,0.394979596138
3022,0.402669757605
2150,0.75539380312
3736,0.947023689747
244,0.99629253149
2008,0.570916473866
3635,0.967303097248
711,0.210612282157
2615,0.119120493531
361,0.998925626278
2745,0.406764090061
2179,0.57671302557
4043,0.958762288094
4613,0.171194568276
2644,0.349465399981
4644,0.897304654121
2935,0.111791290343
4166,0.120278537273
16,0.161521658301
2374,0.970307946205
4455,0.999880075455
1972,0.140362381935
3729,0.859787881374
4296,0.144509971142
3500,0.096909314394
4956,0.514769971371
